,电影,类型,导演,主演
1660,导盲犬小Q,剧情,崔洋一,小林薰/椎名桔平/香川照之/户田惠子/黑谷友香
1661,狼的孩子雨和雪,剧情/动画/家庭/奇幻,细田守,宫崎葵/大泽隆夫/黑木华/西井幸人/大野百花/加部亚门/平冈拓真/林原惠美/中村正/大木民夫/片冈富枝/小林隆/井上肇/染谷将太/桝太一/碓井将大/多田野曜平/桥本一郎/池上幸平/竹内太郎/津田英三/今井麻美/德本英一郎/上白石萌音/荒川知佳/小林里乃/春名风花/佐藤瑠生亮/田中奏生/小西舞优/谷村美月/麻生久美子/菅原文太
1662,归来,剧情/爱情/历史,张艺谋,陈道明/巩俐/张慧雯/郭涛/刘佩琦/祖峰/闫妮/辛柏青/张嘉译/陈小艺/丁嘉丽
1663,精灵旅社,喜剧/动画/奇幻,格恩迪·塔塔科夫斯基,亚当·桑德勒/安迪·萨姆伯格/赛琳娜·戈麦斯/凯文·詹姆斯/法兰·德瑞雪/史蒂夫·布西密/莫莉·香侬/大卫·斯佩德/席洛·格林/乔恩·拉威茨/布莱恩·乔治/路奈尔·坎贝尔/布莱恩·斯达克/克里斯·帕内尔/杰姬·桑德勒/莎蒂·桑德勒/罗伯特·斯密戈尔/罗伯·里格尔/保罗·布里顿/乔尼·所罗门/吉姆·怀斯/克雷格·凯尔曼/布莱恩·麦肯
1664,声之形,剧情/爱情/动画,山田尚子,入野自由/早见沙织/松冈茉优/悠木碧/小野贤章/金子有希/石川由依/潘惠美/丰永利行
1665,我脑中的橡皮擦,剧情/爱情,李宰汉,郑雨盛/孙艺珍/白钟学/金富善/金重基/善智贤
1666,心花路放,喜剧/爱情,宁浩,黄渤/徐峥/袁泉/周冬雨/陶慧/岳小军/沈腾/张俪/马苏/刘美含/王砚辉/焦俊艳/郭涛/李晨/熊乃瑾/夏雨/刘仪伟/雷佳音/雍梦婷/梁浩
1667,实习生,喜剧,南希·迈耶斯,罗伯特·德尼罗/安妮·海瑟薇/蕾妮·罗素/安德雷斯·霍尔姆/乔乔·库什纳/安德鲁·兰内斯/亚当·德维尼/扎克·珀尔曼/杰森·奥利/克里斯蒂娜·谢勒/纳特·沃尔夫/琳达·拉文/西利亚·维斯顿/史蒂夫·维诺维奇/玛丽·凯·普莱斯/德瑞娜·德尼罗
1668,哆啦A梦：伴我同行,剧情/动画,八木龙一/山崎贵,水田山葵/大原惠美/嘉数由美/木村昴/关智一/三石琴乃/松本保典/田原阿尔诺/竹内都子/荻野志保子/高木涉/松本幸/佐藤美由希/Lynn/妻夫木聪
1669,遇见你之前,剧情/爱情,西娅·夏罗克,艾米莉亚·克拉克/山姆·克拉弗林/珍妮·麦克蒂尔/查尔斯·丹斯/布兰登·柯伊尔/珍娜·科尔曼/马修·刘易斯/本·劳埃德-休斯/凡妮莎·柯比/斯蒂芬·皮科克/马修·约翰·摩尔利/汉娜·弗林
1670,夏洛特烦恼,喜剧/爱情,闫非/彭大魔,沈腾/马丽/尹正/艾伦/王智/田雨/宋阳/常远/李萍/李立群/张一鸣/马小茜/赵震/董良瑜/刘坤/黄才伦/陈昊明/陆林洁/王成思/刘金/刘立东/杨欢/宁幻秋/温森/陶柏/许猛/嫣红/刘叶舟/王硕/马驰/周展翅/周华安/顾佳欣/易波/一戈/姜田丰/郭恩强/常世奎/于健/王琦/赵雪/陶亮/黄杨/陆羊/王军/刘子凡/刘笑竹/卢莹/张广洁/方菲菲/许登雨/朱波/肖扬/魏翔/江夏/吴江/张辰/王野/贾悦明/王翡/简姗姗/申琴子/尹星人/桂百惠/管亚鑫/彭泽言/王思浩/关鹏/桂琛/朱磊/徐贤任/田川/李哲
1671,一天,剧情/爱情,罗勒·莎菲,安妮·海瑟薇/吉姆·斯特吉斯/汤姆·米森/朱迪·惠特克/蒂姆·凯/拉菲·斯波/约瑟芬·德·拉·波美/派翠西娅·克拉克森/肯·斯托特/海达·里德/阿曼达·费尔班克-海恩斯/大卫·阿贾拉/乔治雅·金/宇韦尔利·罗奇/克拉拉·佩吉特/马特·贝里/萝玛拉·嘉瑞/戴安娜·肯特/JamesLaurenson/马修·比尔德/托比·瑞格波/托马斯·阿诺德/菲比·福克斯/艾米莉亚·琼斯/麦克·宾德尔/贝恩·科拉科/NatalieHallam/范德·麦克劳德
1672,大鱼海棠,剧情/动画/奇幻,梁旋/张春,季冠霖/苏尚卿/许魏洲/金士杰/杨婷/潘淑兰/九儿/王德顺/张媛媛/薛立方/姜广涛/阿杰/马正阳/宝木中阳/刘校妤
1673,他其实没那么喜欢你,剧情/喜剧/爱情,肯·卡皮斯,詹妮弗·安妮斯顿/本·阿弗莱克/詹妮弗·康纳利/布莱德利·库珀/斯嘉丽·约翰逊/凯文·康诺利/德鲁·巴里摩尔/贾斯汀·朗/金妮弗·古德温/摩根·莉莉
1674,人在囧途,喜剧,叶伟民,徐峥/王宝强/李曼/李小璐/左小青/张歆艺/黄小蕾/马健/邱林
1675,人再囧途之泰囧,喜剧,徐峥,徐峥/王宝强/黄渤/陶虹/谢楠/范冰冰
1676,乘风破浪,剧情/喜剧,韩寒,邓超/彭于晏/赵丽颖/董子健/金士杰/易小星/张本煜/李荣浩/高华阳/李淳/孙伊涵/熊黎/李春嫒/潘米/小马达/金毛期期/孙启恒/孙强/彭菲茗/贾川西/张国庆/程诚/白珞力/方励/郭佳杰/冷海铭
1677,与君相恋100次,爱情,月川翔,miwa/坂口健太郎/龙星凉/真野惠里菜/泉泽祐希/太田莉菜/大石吾朗/堀内敬子/田边诚一
1678,勇敢传说,喜剧/动画/奇幻/冒险,马克∙安德鲁斯/布兰达∙查普曼/史蒂夫·普切尔,凯莉·麦克唐纳/艾玛·汤普森/比利·康诺利/朱丽·沃特斯/罗彼·考特拉尼/凯文·麦克基德/克雷格·费格森/莎莉·金霍恩/伊丽·弗雷泽/佩吉·巴克/史蒂芬·克里/卡勒姆·奥尼尔/帕特里克·道尔/约翰·拉岑贝格/史蒂夫·波赛尔
1679,时间旅行者的妻子,剧情/爱情/悬疑/奇幻,罗伯特·斯文克,瑞秋·麦克亚当斯/艾瑞克·巴纳/阿莱克斯·费瑞斯/艾利斯·霍华德/米歇尔·诺尔顿/布鲁克琳·普劳克斯/朗·里维斯顿/塔图姆·麦克凯恩
1680,全民目击,剧情/悬疑/犯罪,非行,孙红雷/余男/郭富城/邓家佳/赵立新/佟丽娅/倪虹洁/陈思诚/周韦彤/廖晓琴/谭松韵/丁子烁
1681,美国队长2,动作/科幻/冒险,安东尼·罗素/乔·罗素,克里斯·埃文斯/斯嘉丽·约翰逊/塞巴斯蒂安·斯坦/安东尼·麦凯/海莉·阿特维尔/艾米丽·万凯普/罗伯特·雷德福/塞缪尔·杰克逊/寇碧·史莫德斯/卡兰·马尔韦/弗兰克·格里罗/斯坦·李/托比·琼斯/珍妮·艾加特/乔治·圣皮埃尔/盖瑞·山德林/阿兰·戴尔/黄经汉/阿德托库姆布斯·麦克马克/多米尼克·瑞恩斯
1682,美国队长3,动作/科幻/冒险,安东尼·罗素/乔·罗素,克里斯·埃文斯/小罗伯特·唐尼/斯嘉丽·约翰逊/塞巴斯蒂安·斯坦/安东尼·麦凯/唐·钱德尔/杰瑞米·雷纳/查德维克·博斯曼/保罗·贝坦尼/伊丽莎白·奥尔森/保罗·路德/艾米丽·万凯普/汤姆·赫兰德/丹尼尔·布鲁尔/弗兰克·格里罗/威廉·赫特/马丁·弗瑞曼/霍普·戴维斯/玛丽莎·托梅/吉姆·拉什/金世佳
1683,湄公河行动,剧情/动作/犯罪,林超贤,张涵予/彭于晏/孙淳/陈宝国/冯文娟/刘显达/赵健/吴旭东/吴嘉龙/卢惠光/柏华力·莫高彼斯彻/维他亚·潘斯林加姆/战立国/石占杰/伍麟凯/Zobra/魏蔓/李佳璇/郝文婷/王笑龙/任蕊/BhubhingBhangsa-Ard/AchayaVishwanathGovind/NitidetCheryJunphli/KeeraliSivakuae/AlyaretJunamnoong/VattcharachaiSunthomsin/SarawutKumsorn/NongmalBunchu/SubashA/LSundaramoorthy/Itthiphon/SamritWarin/纳卡琳·加汉/钟建龙/张敏嘉/陈沛兴/林美芬/詹姆斯·阿媞邦德/Amigo
1684,奇异博士,动作/奇幻/冒险,斯科特·德瑞克森,本尼迪克特·康伯巴奇/蒂尔达·斯文顿/麦斯·米科尔森/切瓦特·埃加福特/瑞秋·麦克亚当斯/迈克尔·斯图巴/本尼迪克特·王/本杰明·布拉特/斯科特·阿金斯/莎拉·费希恩/阿拉·萨菲
1685,蚁人,动作/科幻/冒险,佩顿·里德,保罗·路德/迈克尔·道格拉斯/伊万杰琳·莉莉/寇瑞·斯托尔/迈克尔·佩纳/大卫·达斯马齐连/朱迪·格雷尔/鲍比·坎纳瓦尔/约翰·斯拉特里/伍德·哈里斯/T.I./海莉·阿特维尔/瓦内萨·罗斯/马丁·唐文/乔·克里斯特/艾比·莱德·弗特森/安东尼·麦凯/加勒特·莫里斯/尼尔·汉博格/鲁德·哈利特/斯坦·李/克里斯·埃文斯/塞巴斯蒂安·斯坦
1686,钢铁侠3,动作/科幻,沙恩·布莱克,小罗伯特·唐尼/盖·皮尔斯/格温妮斯·帕特洛/本·金斯利/唐·钱德尔/保罗·贝坦尼/丽贝卡·豪尔/乔恩·费儒/威廉姆·赛德勒/詹姆斯·戴尔/伊芳·齐玛/泰·辛普金斯/阿什利·汉弥尔顿/王学圻/范冰冰
1687,唐人街探案,喜剧/动作/悬疑,陈思诚,王宝强/刘昊然/佟丽娅/陈赫/肖央/小沈阳/潘粤明/马浴柯/张子枫/赵英俊/桑平/金士杰/大鹏/张国强/李叶青/陈祉希
1688,复仇者联盟2：奥创纪元,动作/科幻/奇幻/冒险,乔斯·韦登,小罗伯特·唐尼/克里斯·海姆斯沃斯/马克·鲁弗洛/克里斯·埃文斯/斯嘉丽·约翰逊/杰瑞米·雷纳/詹姆斯·斯派德/塞缪尔·杰克逊/唐·钱德尔/亚伦·泰勒-约翰逊/伊丽莎白·奥尔森/保罗·贝坦尼/寇碧·史莫德斯/安东尼·麦凯/海莉·阿特维尔/伊德里斯·艾尔巴/斯特兰·斯卡斯加德/金秀贤/托马斯·克莱舒曼/安迪·瑟金斯/朱莉·德尔佩/斯坦·李/亨利·古德曼/多米尼克·普罗沃斯特-切克利/艾萨克·安德鲁斯
1689,钢铁侠2,动作/科幻/冒险,乔恩·费儒,小罗伯特·唐尼/格温妮斯·帕特洛/米基·洛克/斯嘉丽·约翰逊/山姆·洛克威尔/唐·钱德尔/塞缪尔·杰克逊/乔恩·费儒/保罗·贝坦尼/克拉克·格雷格/凯特·玛拉/约翰·斯拉特里
1690,死侍,喜剧/动作/科幻/冒险,蒂姆·米勒,瑞恩·雷诺兹/莫蕾娜·巴卡琳/艾德·斯克林/T·J·米勒/吉娜·卡拉诺/布里安娜·希德布兰德/斯蒂芬·卡皮契奇/莱斯利·格塞斯/杰德·瑞斯/卡兰·索尼/斯坦·李/兰德尔·瑞德/小伊萨克·C.辛格尔顿
1691,一代宗师,剧情/动作/爱情/传记,王家卫,梁朝伟/章子怡/张震/宋慧乔/赵本山/小沈阳/王庆祥/张晋/卢海鹏/冯克安/刘家勇/张智霖/金士杰/徐锦江/刘洵/尚铁龙/罗莽/吴廷烨
1692,神奇动物在哪里,剧情/奇幻/冒险,大卫·叶茨,埃迪·雷德梅恩/凯瑟琳·沃特斯顿/丹·福勒/艾莉森·萨多尔/科林·法瑞尔/埃兹拉·米勒/朗·普尔曼/强·沃特/萨曼莎·莫顿/嘉玛·陈/卡门·艾乔戈/克里斯汀·马扎诺/詹·穆瑞/约翰尼·德普
1693,荒野猎人,剧情/动作/冒险,亚利桑德罗·冈萨雷斯·伊纳里图,莱昂纳多·迪卡普里奥/汤姆·哈迪/多姆纳尔·格里森/威尔·保尔特/福勒斯特·古德勒克/保罗·安德森/克里斯托弗·约纳尔/约书亚·博格/杜安·霍华德/梅劳·纳克霍克/亚瑟·雷德克劳德/克里斯托弗·罗莎蒙德/罗伯特·莫隆尼/卢卡斯·哈斯/布莱登·佛雷切/伊曼纽尔·比洛多/汤姆·盖里/斯科特·奥林克/格蕾丝·德芙/阿德里安·格林·麦莫伦/哈维尔·博泰特/布拉德·卡特/雷·蔡斯/查尔斯·法西/JayTavare/迈克尔·维拉尔
1694,黄金三镖客,西部/冒险,赛尔乔·莱昂内,克林特·伊斯特伍德/埃里·瓦拉赫/李·范·克里夫/阿尔多·久弗瑞/路易吉·皮斯蒂利
1695,X战警：天启,动作/科幻/奇幻/冒险,布莱恩·辛格,詹姆斯·麦卡沃伊/迈克尔·法斯宾德/詹妮弗·劳伦斯/尼古拉斯·霍尔特/奥斯卡·伊萨克/萝丝·拜恩/埃文·彼得斯/休·杰克曼/乔什·赫尔曼/苏菲·特纳/泰伊·谢里丹/卢卡斯·提尔/柯蒂·斯密特-麦菲/本·哈迪/亚历山德拉·希普/拉娜·康多/奥立薇娅·玛恩
1696,天下无贼,剧情/动作/犯罪,冯小刚,刘德华/刘若英/王宝强/李冰冰/葛优/张涵予/尤勇/徐帆/傅彪/范伟/冯远征/林家栋
1697,芙蓉镇,剧情/爱情,谢晋,刘晓庆/姜文/郑在石/张光北/徐松子/祝士彬/刘利年
1698,惊天魔盗团,剧情/悬疑/犯罪,路易斯·莱特里尔,杰西·艾森伯格/艾拉·菲舍尔/伍迪·哈里森/戴夫·弗兰科/马克·鲁弗洛/梅拉尼·罗兰/摩根·弗里曼/迈克尔·凯恩/迈克尔·凯利
1699,雷神2：黑暗世界,动作/奇幻/冒险,阿兰·泰勒,克里斯·海姆斯沃斯/娜塔莉·波特曼/汤姆·希德勒斯顿/安东尼·霍普金斯/克里斯托弗·埃克莱斯顿/杰米·亚历山大/扎克瑞·莱维/雷·史蒂文森/浅野忠信/伊德里斯·艾尔巴/蕾妮·罗素/阿德沃尔·阿吉纽依-艾格拜吉/凯特·戴琳斯/斯特兰·斯卡斯加德/艾丽丝·克里奇/克里夫·罗素/乔纳森·霍华德/克里斯·奥多德/妲露拉·莱莉/奥菲利亚·拉维邦德/本尼西奥·德尔·托罗/斯坦·李
1700,背靠背，脸对脸,剧情,黄建新/杨亚洲,牛振华/雷恪生/李强/句号/王劲松/戈治均/佘南南/张嘉译/刘国祥/徐学政/林海海/温谦/马载军/吴玮玲/张艺/韩炳杰/杨亚洲/王馥荔
1701,我是传奇,剧情/科幻/恐怖,弗朗西斯·劳伦斯,威尔·史密斯/艾莉丝·布拉加/CharlieTahan/达什·米霍克/莎莉·理查德森
1702,攻壳机动队,动作/科幻/动画,押井守,田中敦子/大塚明夫/山寺宏一/大木民夫/家弓家正/玄田哲章/山内雅人/小川真司
1703,寻龙诀,剧情/动作/奇幻/冒险,乌尔善,陈坤/黄渤/舒淇/杨颖/夏雨/刘晓庆/颜卓灵/曹操/张东/黄西/僧格仁钦
1704,侏罗纪世界,动作/科幻/冒险,科林·特雷沃罗,克里斯·帕拉特/布莱丝·达拉斯·霍华德/文森特·多诺费奥/泰·辛普金斯/尼克·罗宾森/奥玛·希/黄荣亮/伊尔凡·可汗/朱迪·格雷尔/杰克·约翰逊/劳伦·拉普库斯/凯蒂·麦克格雷斯/布莱恩·泰/埃迪·J.费尔南德斯/因德尔·库马尔/安迪·巴克利/吉米·法伦
1705,解救吾先生,剧情/犯罪,丁晟,刘德华/刘烨/吴若甫/王千源/林雪/赵小锐/李梦/蔡鹭/陆彭/余皑磊
1706,催眠大师,剧情/悬疑/惊悚,陈正道,徐峥/莫文蔚/胡静/吕中/王耀庆/杨凯迪
1707,罗曼蒂克消亡史,剧情/动作/悬疑,程耳,葛优/章子怡/浅野忠信/杜淳/钟欣潼/倪大红/赵宝刚/袁泉/闫妮/韩庚/霍思燕/杜江/王传君/钟汉良/马晓伟/吕行/乔笑笑/刘天阳/赵海涛/叶禾/周敬峰/杨露璐/松峰莉璃/松浦敬之/平田康之/张晓龙/郭晓小/小黑
1708,地心引力,科幻/惊悚/灾难,阿方索·卡隆,桑德拉·布洛克/乔治·克鲁尼/艾德·哈里斯/奥托·伊格内修森/法尔杜特·夏尔马/艾米·沃伦/巴舍尔·萨维奇
1709,不能说的秘密,爱情/音乐/奇幻,周杰伦,周杰伦/桂纶镁/黄秋生/苏明明/曾恺玹/詹宇豪/张杰/钟瑶/张训玮
1710,碟中谍5：神秘国度,动作/惊悚/冒险,克里斯托弗·麦奎里,汤姆·克鲁斯/杰瑞米·雷纳/西蒙·佩吉/丽贝卡·弗格森/文·瑞姆斯/西恩·哈里斯/西蒙·迈克伯尼/张静初/汤姆·霍兰德/延斯·赫尔腾/亚历克·鲍德温/亚历克·乌特戈夫/赫敏·科菲尔德/阿美莉嘉·奥利沃/拉斯科·阿特金斯/肖恩·克罗宁/明格斯·约翰斯顿
1711,生化危机,动作/科幻/恐怖,保罗·安德森,米拉·乔沃维奇/米歇尔·罗德里格兹/科林·萨蒙/埃里克·马比斯/詹姆斯·鲍弗
1712,灿烂人生,剧情/爱情/家庭,马可·图利奥·吉奥达纳,路易吉·洛·卡肖/阿莱西奥·博尼/索尼娅·贝加马斯科/玛雅·珊萨/法布里齐奥·吉福尼/杰丝敏·特丽卡/里卡多·斯卡马乔/安德烈提多娜/瓦伦蒂娜·卡妮卢提/卡米拉·菲利皮/莉迪亚·维塔莱/ClaudioGioè/斯特凡诺·阿伯蒂
1713,食神,喜剧/动作,李力持/周星驰,周星驰/莫文蔚/刘以达/吴孟达/薛家燕/谷德昭/李兆基/江希文/田启文/欧锦棠/罗家英/钟丽缇/林雪
1714,速度与激情6,动作/惊悚/犯罪,林诣彬,范·迪塞尔/保罗·沃克/道恩·强森/乔丹娜·布鲁斯特/米歇尔·罗德里格兹/泰瑞斯·吉布森/姜成镐/盖尔·加朵/卢达克里斯/卢克·伊万斯/埃尔莎·帕塔奇/吉娜·卡拉诺/克拉拉·佩吉特/金·柯尔德/乔·塔斯利姆
1715,大内密探零零发,喜剧/动作/爱情/古装,谷德昭/周星驰,周星驰/刘嘉玲/李若彤/罗家英/张达明/刘以达/李力持/江欣燕/苑琼丹/朱咪咪/李健仁/袁祥仁/袁信义/植敬雯/潘恒生/谷德昭/文隽/黄老邪/黄一飞/查尔斯·沈/吴育枢/王均康/陈剑云/欧锦棠/叶伟信
1716,环太平洋,动作/科幻/冒险,吉尔莫·德尔·托罗,查理·汉纳姆/菊地凛子/伊德里斯·艾尔巴/查理·戴/朗·普尔曼/罗伯特·卡辛斯基/马克斯·马蒂尼/伯恩·戈曼/小克利夫顿·克林斯/芦田爱菜/迪亚哥·克莱特霍夫/希瑟·多克森/罗伯特·梅耶/刘智福/刘智满/刘智堂
1717,绣春刀,剧情/动作/武侠/古装,路阳,张震/刘诗诗/王千源/李东学/聂远/金士杰/叶青/周一围/朱丹/赵立新/叶相明
1718,史密斯夫妇,喜剧/动作/爱情,道格·里曼,布拉德·皮特/安吉丽娜·朱莉/文斯·沃恩/亚当·布罗迪/凯丽·华盛顿/凯斯·大卫/克里斯·韦兹/RachaelHuntley/米歇尔·莫纳汉/斯蒂芬妮·玛奇/詹妮弗·莫里森/TheresaBarrera/佩瑞·里维斯/MelanieTolbert/杰瑞·T·亚当斯/罗恩·博蒂塔/玛丽·斯奇塔姆/NoahDahl/ChrisDaniels/帕特里卡·达博/特雷西·迪奥里奥/格雷格·埃利斯/梅根·加拉格尔/艾米·海瑟薇/拉维尔·伊斯亚诺夫/马克·伊瓦涅/西蒙·金伯格/DerenLeRoy/肖恩·马洪/JordanOsher/LeonardRobinson/FelixA.Ruiz/SamSabbah/Michael-JohnWolfe/杰夫·雅格/MelissaHurley/JacquiLandrum/MarkBarba/安吉拉·贝塞特/威廉·菲德内尔/ShiloFrontierro/LuisJuarez/托尼·隆哥
1719,极速风流,剧情/动作/传记/运动,朗·霍华德,克里斯·海姆斯沃斯/丹尼尔·布鲁尔/奥利维亚·王尔德/亚历山德拉·玛丽亚·拉娜/皮耶尔弗兰切斯科·法维诺/大卫·卡尔德/娜塔莉·多默尔/史蒂芬·曼甘/克里斯蒂安·麦凯/阿利斯泰·皮垂/朱利安·林希德-图特/科林·斯廷顿/帕特里克·巴拉迪/文森特·里奥特/马丁·萨维奇/杰米·西弗斯/汤姆·拉斯齐哈/克里斯蒂安·索利诺/詹姆斯·诺顿/约瑟芬·德·拉·波美/杰弗里·斯特里特菲尔德/布鲁克·约翰斯顿/汉纳·布里特兰德/利萨·麦克阿里斯特/汉斯-埃卡特·埃克哈特/小家山晃/罗杰·内瓦雷斯/罗非洛·迪格托勒/马可·卡纳迪/迪米特里·格里特萨斯/杰伊·辛普森/菲利普·斯波/恩里奇·雷德曼/藤本正史/罗布·卡瓦佐斯/李·阿斯奎斯-柯/贝恩·科拉科/克里斯·考林/格拉姆·柯里
1720,独立日,动作/科幻/冒险/灾难,罗兰·艾默里奇,威尔·史密斯/比尔·普尔曼/杰夫·高布伦/玛丽·麦克唐纳/贾德·赫希/罗伯特·劳吉亚/兰迪·奎德/玛格丽特·柯林/薇薇卡·福克斯/詹姆斯·瑞布霍恩/哈维·费斯特恩/亚当·鲍德温/布伦特·斯皮内/詹姆斯·杜瓦尔/莉萨·雅克布/杰赛普·安德鲁斯/罗斯·巴格利/比尔·斯米托洛维奇/梅·惠特曼/小哈里·康尼克/绮尔斯腾·瓦伦/约翰·斯托里/弗兰克·诺瓦克/德文·古梅尔萨尔/吉姆·皮多克
1721,华尔街之狼,剧情/喜剧/传记/犯罪,马丁·斯科塞斯,莱昂纳多·迪卡普里奥/乔纳·希尔/玛格特·罗比/马修·麦康纳/凯尔·钱德勒/罗伯·莱纳/乔·博恩瑟/让·杜雅尔丹/克里斯汀·米利欧缇/卡塔莉娜·凯斯
1722,乱,剧情/动作/战争,黑泽明,仲代达矢/寺尾聪/根津甚八/隆大介/野村万斋
1723,无间道3：终极无间,剧情/动作/惊悚/犯罪,刘伟强/麦兆辉,梁朝伟/刘德华/黎明/陈道明/陈慧琳/黄秋生/曾志伟/杜汶泽/郑秀文/刘嘉玲/林家栋/陈冠希/余文乐/尹扬明
1724,变形金刚2,动作/科幻,迈克尔·贝,希亚·拉博夫/梅根·福克斯/乔什·杜哈明/雨果·维文/伊莎贝尔·卢卡斯/约翰·特托罗
1725,鹿鼎记,喜剧/动作/武侠/古装,王晶,周星驰/吴孟达/张敏/吴君如/邱淑贞/刘松仁/陈百祥/袁洁莹/温兆伦/徐锦江/陈德容
1726,偷自行车的人,剧情/犯罪,维托里奥·德·西卡,兰贝托·马乔拉尼/恩佐·斯泰奥拉/莉安拉·卡雷尔/吉诺·萨尔塔梅伦达/维托里奥·安东努奇
1727,逃学威龙,喜剧/动作/爱情,陈嘉上,周星驰/张敏/吴孟达/张耀扬/黄一山/秦沛/苑琼丹/陈国新
1728,叶问,剧情/动作/传记/历史,叶伟信,甄子丹/任达华/熊黛林/池内博之/林家栋/樊少皇/释彦能/黄又南/杜宇航
1729,魔兽,动作/奇幻/冒险,邓肯·琼斯,崔维斯·费米尔/托比·凯贝尔/宝拉·巴顿/吴彦祖/本·福斯特/多米尼克·库珀/鲁丝·内伽/克兰西·布朗/丹尼尔·库德摩尔/罗伯特·卡辛斯基/本·施耐泽/格伦·克洛斯/考乐姆·吉斯·雷尼/泰瑞·诺塔里/瑞安·罗宾斯/博尔克利·杜菲尔德/丹·佩恩/迪伦·肖明/唐尼·麦克尼尔/迈克·安东纳科斯/拉吉·拉尔
